dataset_name,cnn,encoder,fcn,mcdcnn,mlp,resnet,tlenet,twiesn
MiddlePhalanxOutlineCorrect,74.4(2.4),75.2(1.0),79.5(1.4),79.6(3.0),75.5(1.4),82.6(1.3),57.0(0.0),74.3(3.3)
MiddlePhalanxTW,55.1(1.2),59.7(1.5),50.1(1.0),56.2(2.3),53.6(1.5),49.5(1.9),28.6(0.0),56.9(1.5)
MixedShapesRegularTrain,85.0(0.4),81.8(0.5),95.5(0.2),86.0(2.0),90.7(0.1),97.3(0.1),27.0(0.0),71.5(5.4)
MixedShapesSmallTrain,74.3(0.6),75.1(0.5),89.3(0.7),70.9(2.0),84.1(0.2),91.7(1.1),27.0(0.0),70.5(3.9)
MoteStrain,88.5(1.0),87.2(0.8),93.6(0.4),69.1(20.8),85.5(0.3),92.4(0.6),53.9(0.0),80.9(4.0)
NonInvasiveFetalECGThorax1,86.1(0.3),87.3(0.4),95.8(0.1),90.2(1.0),91.5(0.6),94.1(0.2),2.9(0.0),48.6(2.6)
NonInvasiveFetalECGThorax2,89.6(0.6),89.9(0.3),95.3(0.2),91.0(1.2),91.8(0.2),94.4(0.3),2.9(0.0),51.7(1.0)
OSULeaf,48.2(1.3),55.4(0.7),97.9(0.5),41.9(4.2),56.0(0.5),98.0(0.6),18.2(0.0),62.8(2.2)
OliveOil,40.0(0.0),40.0(0.0),72.0(18.0),40.0(0.0),65.3(8.7),84.7(5.1),40.0(0.0),84.0(4.3)
PLAID,64.1(1.2),72.8(2.1),90.4(0.8),62.5(5.0),62.5(0.2),94.0(0.5),16.1(0.1),53.3(3.7)
PhalangesOutlinesCorrect,79.9(1.1),74.5(1.6),81.8(0.8),79.5(2.1),75.6(2.1),84.5(0.6),61.3(0.0),65.6(0.5)
Phoneme,9.5(0.2),17.4(0.7),32.8(0.6),12.2(3.4),9.4(0.4),33.3(0.6),11.3(0.0),13.2(2.4)
PickupGestureWiimoteZ,60.8(4.6),49.6(3.6),74.4(3.0),41.2(12.0),60.4(1.7),70.4(3.0),10.0(0.0),61.6(5.7)
PigAirwayPressure,6.1(0.6),5.3(0.8),17.2(3.6),2.4(1.5),6.5(0.4),40.6(4.4),1.9(0.0),16.2(0.8)
PigArtPressure,9.9(0.7),9.7(1.1),98.7(0.9),2.9(1.4),10.5(0.9),99.1(0.5),1.9(0.0),66.9(1.5)
PigCVP,7.1(0.6),6.6(0.6),83.1(2.4),1.5(0.4),7.6(0.9),91.8(1.2),1.9(0.0),51.9(4.5)
Plane,96.2(1.0),96.4(1.2),100.0(0.0),95.2(2.1),97.7(0.5),100.0(0.0),14.3(0.0),100.0(0.0)
PowerCons,96.0(1.4),97.1(0.6),86.3(0.9),92.9(2.1),97.7(0.5),87.9(2.1),50.0(0.0),85.2(1.6)
ProximalPhalanxOutlineAgeGroup,81.2(1.5),87.2(0.5),82.5(0.4),83.9(1.1),84.9(0.7),84.7(1.8),48.8(0.0),83.9(0.7)
ProximalPhalanxOutlineCorrect,80.7(1.9),76.8(2.1),90.7(0.6),86.6(2.2),73.0(2.1),92.0(0.7),68.4(0.0),81.7(2.2)
ProximalPhalanxTW,77.7(0.5),79.1(1.4),76.1(1.8),77.5(1.7),76.7(0.8),77.3(0.9),34.1(1.3),78.4(1.4)
RefrigerationDevices,43.7(1.5),46.1(2.2),49.7(2.0),39.1(3.6),37.7(1.1),53.0(0.9),33.3(0.0),51.0(0.7)
Rock,88.0(2.0),78.4(2.6),63.2(4.1),62.8(27.7),85.2(3.0),55.2(2.3),36.4(7.7),45.6(10.7)
